"tp","tn","fp","fn","precision","recall","k_value"
7,0,100,0,0.07,1,0.2
7,0,100,0,0.07,1,0.2
7,0,100,0,0.07,1,0.2
7,0,100,0,0.07,1,0.2
7,0,100,0,0.07,1,0.2
7,70,30,0,0.19,1,0.3
7,70,30,0,0.19,1,0.3
7,70,30,0,0.19,1,0.3
7,70,30,0,0.19,1,0.3
7,70,30,0,0.19,1,0.3
5,90,10,2,0.33,0.71,0.4
5,90,10,2,0.33,0.71,0.4
5,90,10,2,0.33,0.71,0.4
5,90,10,2,0.33,0.71,0.4
5,90,10,2,0.33,0.71,0.4
5,90,10,2,0.33,0.71,0.5
5,90,10,2,0.33,0.71,0.5
5,90,10,2,0.33,0.71,0.5
5,90,10,2,0.33,0.71,0.5
5,90,10,2,0.33,0.71,0.5
5,90,10,2,0.33,0.71,0.6
5,90,10,2,0.33,0.71,0.6
5,90,10,2,0.33,0.71,0.6
5,90,10,2,0.33,0.71,0.6
5,90,10,2,0.33,0.71,0.6
5,90,10,2,0.33,0.71,0.7
5,90,10,2,0.33,0.71,0.7
5,90,10,2,0.33,0.71,0.7
5,90,10,2,0.33,0.71,0.7
5,90,10,2,0.33,0.71,0.7
5,90,10,2,0.33,0.71,0.8
5,90,10,2,0.33,0.71,0.8
5,90,10,2,0.33,0.71,0.8
5,90,10,2,0.33,0.71,0.8
5,90,10,2,0.33,0.71,0.8
5,90,10,2,0.33,0.71,0.9
5,90,10,2,0.33,0.71,0.9
5,90,10,2,0.33,0.71,0.9
5,90,10,2,0.33,0.71,0.9
5,90,10,2,0.33,0.71,0.9
5,90,10,2,0.33,0.71,1
5,90,10,2,0.33,0.71,1
5,90,10,2,0.33,0.71,1
5,90,10,2,0.33,0.71,1
5,90,10,2,0.33,0.71,1
