"tp","tn","fp","fn","precision","recall","k_value"
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,80,4,3,0.76,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.3
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,82,2,3,0.87,0.81,0.4
13,80,4,3,0.76,0.81,0.4
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.5
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.6
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.7
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.8
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,0.9
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
13,82,2,3,0.87,0.81,1
