"tp","tn","fp","fn","precision","recall","k_value"
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
8,93,12,0,0.4,1,0.1
8,94,11,0,0.42,1,0.2
8,93,12,0,0.4,1,0.3
8,94,11,0,0.42,1,0.4
8,92,13,0,0.38,1,0.5
8,93,12,0,0.4,1,0.6
8,94,11,0,0.42,1,0.7
8,93,12,0,0.4,1,0.8
8,92,13,0,0.38,1,0.9
1,105,0,7,1,0.13,1
