"tp","tn","fp","fn","precision","recall","k_value"
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.3
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.4
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.5
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.6
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.7
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.8
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,0.9
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
8,87,1,1,0.89,0.89,1
