"tp","tn","fp","fn","precision","recall","k_value"
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
14,101,6,0,0.7,1,0.1
14,99,8,0,0.64,1,0.2
14,101,6,0,0.7,1,0.3
14,99,8,0,0.64,1,0.4
14,101,6,0,0.7,1,0.5
14,100,7,0,0.67,1,0.6
14,101,6,0,0.7,1,0.7
14,102,5,0,0.74,1,0.8
14,101,6,0,0.7,1,0.9
0,107,0,14,NA,0,1
