"tp","tn","fp","fn","precision","recall","k_value"
4,84,0,12,1,0.25,0
4,84,0,12,1,0.25,0.01
4,84,0,12,1,0.25,0.02
4,84,0,12,1,0.25,0.03
4,84,0,12,1,0.25,0.04
5,84,0,11,1,0.31,0.05
7,84,0,9,1,0.44,0.06
7,84,0,9,1,0.44,0.07
8,84,0,8,1,0.5,0.08
10,84,0,6,1,0.63,0.09
10,84,0,6,1,0.63,0.1
10,83,1,6,0.91,0.63,0.11
11,80,4,5,0.73,0.69,0.12
11,80,4,5,0.73,0.69,0.13
11,80,4,5,0.73,0.69,0.14
11,80,4,5,0.73,0.69,0.15
12,76,8,4,0.6,0.75,0.16
12,76,8,4,0.6,0.75,0.17
12,76,8,4,0.6,0.75,0.18
12,76,8,4,0.6,0.75,0.19
12,76,8,4,0.6,0.75,0.2
12,67,17,4,0.41,0.75,0.25
12,66,18,4,0.4,0.75,0.3
12,59,25,4,0.32,0.75,0.35
12,56,28,4,0.3,0.75,0.4
13,52,32,3,0.29,0.81,0.45
13,47,37,3,0.26,0.81,0.5
13,42,42,3,0.24,0.81,0.55
13,37,47,3,0.22,0.81,0.6
13,31,53,3,0.2,0.81,0.65
14,28,56,2,0.2,0.88,0.7
15,24,60,1,0.2,0.94,0.75
15,19,65,1,0.19,0.94,0.8
16,15,69,0,0.19,1,0.85
16,10,74,0,0.18,1,0.9
16,5,79,0,0.17,1,0.95
16,0,84,0,0.16,1,1
