"tp","tn","fp","fn","precision","recall","k_value"
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,84,0,3,1,0.81,0.3
13,75,9,3,0.59,0.81,0.4
13,84,0,3,1,0.81,0.4
13,84,0,3,1,0.81,0.4
13,84,0,3,1,0.81,0.4
13,75,9,3,0.59,0.81,0.4
13,84,0,3,1,0.81,0.4
13,84,0,3,1,0.81,0.4
13,84,0,3,1,0.81,0.4
13,75,9,3,0.59,0.81,0.4
13,75,9,3,0.59,0.81,0.4
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,75,9,3,0.59,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.5
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.6
13,75,9,3,0.59,0.81,0.6
13,84,0,3,1,0.81,0.6
13,75,9,3,0.59,0.81,0.6
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.6
13,84,0,3,1,0.81,0.7
13,84,0,3,1,0.81,0.7
13,75,9,3,0.59,0.81,0.7
13,84,0,3,1,0.81,0.7
13,84,0,3,1,0.81,0.7
13,84,0,3,1,0.81,0.7
13,84,0,3,1,0.81,0.7
13,75,9,3,0.59,0.81,0.7
13,84,0,3,1,0.81,0.7
13,75,9,3,0.59,0.81,0.7
13,75,9,3,0.59,0.81,0.8
13,84,0,3,1,0.81,0.8
13,75,9,3,0.59,0.81,0.8
13,84,0,3,1,0.81,0.8
13,84,0,3,1,0.81,0.8
13,84,0,3,1,0.81,0.8
13,84,0,3,1,0.81,0.8
13,75,9,3,0.59,0.81,0.8
13,84,0,3,1,0.81,0.8
13,84,0,3,1,0.81,0.8
13,84,0,3,1,0.81,0.9
13,75,9,3,0.59,0.81,0.9
13,84,0,3,1,0.81,0.9
13,84,0,3,1,0.81,0.9
13,84,0,3,1,0.81,0.9
13,84,0,3,1,0.81,0.9
13,84,0,3,1,0.81,0.9
13,75,9,3,0.59,0.81,0.9
13,84,0,3,1,0.81,0.9
13,84,0,3,1,0.81,0.9
13,75,9,3,0.59,0.81,1
13,75,9,3,0.59,0.81,1
13,84,0,3,1,0.81,1
13,75,9,3,0.59,0.81,1
13,84,0,3,1,0.81,1
13,75,9,3,0.59,0.81,1
13,84,0,3,1,0.81,1
13,84,0,3,1,0.81,1
13,75,9,3,0.59,0.81,1
13,75,9,3,0.59,0.81,1
