"tp","tn","fp","fn","precision","recall","k_value"
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.3
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.4
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,83,3,9,0.63,0.36,0.5
5,81,5,9,0.5,0.36,0.5
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.6
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.7
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.8
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,0.9
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
5,83,3,9,0.63,0.36,1
