"tp","tn","fp","fn","precision","recall","k_value"
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
5,95,5,0,0.5,1,0.1
5,94,6,0,0.45,1,0.2
5,94,6,0,0.45,1,0.3
5,95,5,0,0.5,1,0.4
5,95,5,0,0.5,1,0.5
5,95,5,0,0.5,1,0.6
5,95,5,0,0.5,1,0.7
5,97,3,0,0.63,1,0.8
5,97,3,0,0.63,1,0.9
0,100,0,5,NA,0,1
