"tp","tn","fp","fn","precision","recall","k_value"
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
12,98,7,0,0.63,1,0.1
12,96,9,0,0.57,1,0.2
12,99,6,0,0.67,1,0.3
12,100,5,0,0.71,1,0.4
12,98,7,0,0.63,1,0.5
12,98,7,0,0.63,1,0.6
12,99,6,0,0.67,1,0.7
12,100,5,0,0.71,1,0.8
8,104,1,4,0.89,0.67,0.9
1,105,0,11,1,0.08,1
