"tp","tn","fp","fn","precision","recall","k_value"
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
14,91,12,0,0.54,1,0.1
14,91,12,0,0.54,1,0.2
14,92,11,0,0.56,1,0.3
14,95,8,0,0.64,1,0.4
14,95,8,0,0.64,1,0.5
14,95,8,0,0.64,1,0.6
14,95,8,0,0.64,1,0.7
14,98,5,0,0.74,1,0.8
10,101,2,4,0.83,0.71,0.9
0,103,0,14,NA,0,1
