"tp","tn","fp","fn","precision","recall","k_value"
1,86,0,13,1,0.07,0
1,86,0,13,1,0.07,0.01
1,85,1,13,0.5,0.07,0.02
2,85,1,12,0.67,0.14,0.03
4,85,1,10,0.8,0.29,0.04
4,85,1,10,0.8,0.29,0.05
5,85,1,9,0.83,0.36,0.06
7,84,2,7,0.78,0.5,0.07
7,84,2,7,0.78,0.5,0.08
7,84,2,7,0.78,0.5,0.09
8,83,3,6,0.73,0.57,0.1
8,83,3,6,0.73,0.57,0.11
9,82,4,5,0.69,0.64,0.12
9,82,4,5,0.69,0.64,0.13
10,82,4,4,0.71,0.71,0.14
10,80,6,4,0.63,0.71,0.15
10,80,6,4,0.63,0.71,0.16
11,80,6,3,0.65,0.79,0.17
11,79,7,3,0.61,0.79,0.18
11,77,9,3,0.55,0.79,0.19
11,77,9,3,0.55,0.79,0.2
