"tp","tn","fp","fn","precision","recall","k_value"
16,96,2,2,0.89,0.89,0
16,98,0,2,1,0.89,150
16,98,0,2,1,0.89,300
16,98,0,2,1,0.89,450
16,98,0,2,1,0.89,600
