"tp","tn","fp","fn","precision","recall","k_value"
3,88,0,6,1,0.33,0
3,88,0,6,1,0.33,0.01
3,88,0,6,1,0.33,0.02
3,88,0,6,1,0.33,0.03
6,88,0,3,1,0.67,0.04
6,88,0,3,1,0.67,0.05
6,88,0,3,1,0.67,0.06
7,88,0,2,1,0.78,0.07
7,86,2,2,0.78,0.78,0.08
7,86,2,2,0.78,0.78,0.09
8,86,2,1,0.8,0.89,0.1
8,85,3,1,0.73,0.89,0.11
8,83,5,1,0.62,0.89,0.12
8,83,5,1,0.62,0.89,0.13
8,81,7,1,0.53,0.89,0.14
8,81,7,1,0.53,0.89,0.15
8,80,8,1,0.5,0.89,0.16
8,79,9,1,0.47,0.89,0.17
8,77,11,1,0.42,0.89,0.18
8,77,11,1,0.42,0.89,0.19
8,76,12,1,0.4,0.89,0.2
8,71,17,1,0.32,0.89,0.25
8,67,21,1,0.28,0.89,0.3
8,62,26,1,0.24,0.89,0.35
8,57,31,1,0.21,0.89,0.4
8,52,36,1,0.18,0.89,0.45
8,47,41,1,0.16,0.89,0.5
9,44,44,0,0.17,1,0.55
9,39,49,0,0.16,1,0.6
9,34,54,0,0.14,1,0.65
9,29,59,0,0.13,1,0.7
9,24,64,0,0.12,1,0.75
9,20,68,0,0.12,1,0.8
9,15,73,0,0.11,1,0.85
9,10,78,0,0.1,1,0.9
9,5,83,0,0.1,1,0.95
9,0,88,0,0.09,1,1
