"tp","tn","fp","fn","precision","recall","k_value"
41,0,100,0,0.29,1,0.2
41,0,100,0,0.29,1,0.2
41,0,100,0,0.29,1,0.2
41,0,100,0,0.29,1,0.2
41,0,100,0,0.29,1,0.2
32,80,20,9,0.62,0.78,0.3
32,80,20,9,0.62,0.78,0.3
32,80,20,9,0.62,0.78,0.3
32,80,20,9,0.62,0.78,0.3
32,80,20,9,0.62,0.78,0.3
32,80,20,9,0.62,0.78,0.4
32,80,20,9,0.62,0.78,0.4
32,80,20,9,0.62,0.78,0.4
32,80,20,9,0.62,0.78,0.4
32,80,20,9,0.62,0.78,0.4
32,80,20,9,0.62,0.78,0.5
32,80,20,9,0.62,0.78,0.5
32,80,20,9,0.62,0.78,0.5
32,80,20,9,0.62,0.78,0.5
32,80,20,9,0.62,0.78,0.5
32,80,20,9,0.62,0.78,0.6
32,80,20,9,0.62,0.78,0.6
32,80,20,9,0.62,0.78,0.6
32,80,20,9,0.62,0.78,0.6
32,80,20,9,0.62,0.78,0.6
32,80,20,9,0.62,0.78,0.7
32,80,20,9,0.62,0.78,0.7
32,80,20,9,0.62,0.78,0.7
32,80,20,9,0.62,0.78,0.7
32,80,20,9,0.62,0.78,0.7
30,99,1,11,0.97,0.73,0.8
30,99,1,11,0.97,0.73,0.8
30,99,1,11,0.97,0.73,0.8
30,99,1,11,0.97,0.73,0.8
32,80,20,9,0.62,0.78,0.8
30,100,0,11,1,0.73,0.9
30,100,0,11,1,0.73,0.9
30,100,0,11,1,0.73,0.9
30,100,0,11,1,0.73,0.9
30,100,0,11,1,0.73,0.9
30,99,1,11,0.97,0.73,1
30,99,1,11,0.97,0.73,1
30,99,1,11,0.97,0.73,1
30,99,1,11,0.97,0.73,1
30,99,1,11,0.97,0.73,1
