"tp","tn","fp","fn","precision","recall","k_value"
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
5,92,10,0,0.33,1,0.1
5,92,10,0,0.33,1,0.2
5,93,9,0,0.36,1,0.3
5,93,9,0,0.36,1,0.4
5,92,10,0,0.33,1,0.5
5,93,9,0,0.36,1,0.6
5,96,6,0,0.45,1,0.7
5,92,10,0,0.33,1,0.8
5,96,6,0,0.45,1,0.9
2,101,1,3,0.67,0.4,1
