"tp","tn","fp","fn","precision","recall","k_value"
41,0,100,0,0.29,1,0.4
41,0,100,0,0.29,1,0.4
38,75,25,3,0.6,0.93,0.4
41,0,100,0,0.29,1,0.4
41,0,100,0,0.29,1,0.4
38,71,29,3,0.57,0.93,0.5
38,71,29,3,0.57,0.93,0.5
38,71,29,3,0.57,0.93,0.5
38,71,29,3,0.57,0.93,0.5
38,71,29,3,0.57,0.93,0.5
37,86,14,4,0.73,0.9,0.6
38,71,29,3,0.57,0.93,0.6
38,71,29,3,0.57,0.93,0.6
37,86,14,4,0.73,0.9,0.6
37,86,14,4,0.73,0.9,0.6
37,83,17,4,0.69,0.9,0.7
37,83,17,4,0.69,0.9,0.7
37,83,17,4,0.69,0.9,0.7
37,83,17,4,0.69,0.9,0.7
37,83,17,4,0.69,0.9,0.7
35,92,8,6,0.81,0.85,0.8
35,92,8,6,0.81,0.85,0.8
37,83,17,4,0.69,0.9,0.8
35,92,8,6,0.81,0.85,0.8
35,92,8,6,0.81,0.85,0.8
35,92,8,6,0.81,0.85,0.9
35,92,8,6,0.81,0.85,0.9
35,92,8,6,0.81,0.85,0.9
35,92,8,6,0.81,0.85,0.9
35,92,8,6,0.81,0.85,0.9
35,92,8,6,0.81,0.85,1
35,92,8,6,0.81,0.85,1
35,92,8,6,0.81,0.85,1
35,92,8,6,0.81,0.85,1
35,92,8,6,0.81,0.85,1
