"tp","tn","fp","fn","precision","recall","k_value"
21,26,72,0,0.23,1,0.2
21,26,72,0,0.23,1,0.2
21,26,72,0,0.23,1,0.2
21,26,72,0,0.23,1,0.2
21,26,72,0,0.23,1,0.2
21,26,72,0,0.23,1,0.3
21,26,72,0,0.23,1,0.3
21,26,72,0,0.23,1,0.3
21,26,72,0,0.23,1,0.3
21,26,72,0,0.23,1,0.3
21,26,72,0,0.23,1,0.4
21,26,72,0,0.23,1,0.4
21,26,72,0,0.23,1,0.4
21,26,72,0,0.23,1,0.4
21,26,72,0,0.23,1,0.4
21,26,72,0,0.23,1,0.5
21,26,72,0,0.23,1,0.5
21,26,72,0,0.23,1,0.5
21,26,72,0,0.23,1,0.5
21,26,72,0,0.23,1,0.5
21,26,72,0,0.23,1,0.6
21,26,72,0,0.23,1,0.6
21,26,72,0,0.23,1,0.6
21,26,72,0,0.23,1,0.6
21,26,72,0,0.23,1,0.6
21,26,72,0,0.23,1,0.7
21,26,72,0,0.23,1,0.7
21,26,72,0,0.23,1,0.7
21,26,72,0,0.23,1,0.7
21,26,72,0,0.23,1,0.7
21,26,72,0,0.23,1,0.8
21,26,72,0,0.23,1,0.8
21,26,72,0,0.23,1,0.8
21,26,72,0,0.23,1,0.8
21,26,72,0,0.23,1,0.8
21,26,72,0,0.23,1,0.9
21,26,72,0,0.23,1,0.9
21,26,72,0,0.23,1,0.9
21,26,72,0,0.23,1,0.9
21,26,72,0,0.23,1,0.9
21,26,72,0,0.23,1,1
21,26,72,0,0.23,1,1
21,26,72,0,0.23,1,1
21,26,72,0,0.23,1,1
21,26,72,0,0.23,1,1
