"tp" "tn" "fp" "fn" "precision" "recall" "k_value"
"89" 1 108 1 35 "0.5" 0.0277777777777778 0.88
"90" 1 108 1 35 "0.5" 0.0277777777777778 0.89
"91" 1 109 0 35 "1" 0.0277777777777778 0.9
"92" 1 109 0 35 "1" 0.0277777777777778 0.91
"93" 1 109 0 35 "1" 0.0277777777777778 0.92
"94" 1 109 0 35 "1" 0.0277777777777778 0.93
"95" 1 109 0 35 "1" 0.0277777777777778 0.94
"96" 1 109 0 35 "1" 0.0277777777777778 0.95
"97" 1 109 0 35 "1" 0.0277777777777778 0.96
"98" 1 109 0 35 "1" 0.0277777777777778 0.97
"99" 1 109 0 35 "1" 0.0277777777777778 0.98
"100" 1 109 0 35 "1" 0.0277777777777778 0.99
"101" 0 109 0 36 NA 0 1
