"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 41, 0, 100, 0, 0.290780141843972, 1, 0.2
"2", 38, 43, 57, 3, 0.4, 0.926829268292683, 0.3
"3", 34, 98, 2, 7, 0.944444444444444, 0.829268292682927, 0.4
"4", 34, 98, 2, 7, 0.944444444444444, 0.829268292682927, 0.5
"5", 34, 98, 2, 7, 0.944444444444444, 0.829268292682927, 0.6
"6", 33, 99, 1, 8, 0.970588235294118, 0.804878048780488, 0.7
"7", 33, 99, 1, 8, 0.970588235294118, 0.804878048780488, 0.8
"8", 33, 99, 1, 8, 0.970588235294118, 0.804878048780488, 0.9
"9", 33, 99, 1, 8, 0.970588235294118, 0.804878048780488, 1
