"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0
"2", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.1
"3", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.2
"4", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.3
"5", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.4
"6", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.5
"7", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.6
"8", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.7
"9", 1, 98, 5, 12, "0.166666666666667", 0.0769230769230769, 0.8
"10", 0, 102, 1, 13, "0", 0, 0.9
"11", 0, 103, 0, 13, NA, 0, 1
