"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 55, 0, 100, 0, 0.354838709677419, 1, 0.2
"2", 50, 55, 45, 5, 0.526315789473684, 0.909090909090909, 0.3
"3", 40, 93, 7, 15, 0.851063829787234, 0.727272727272727, 0.4
"4", 40, 93, 7, 15, 0.851063829787234, 0.727272727272727, 0.5
"5", 40, 93, 7, 15, 0.851063829787234, 0.727272727272727, 0.6
"6", 37, 95, 5, 18, 0.880952380952381, 0.672727272727273, 0.7
"7", 37, 95, 5, 18, 0.880952380952381, 0.672727272727273, 0.8
"8", 37, 95, 5, 18, 0.880952380952381, 0.672727272727273, 0.9
"9", 37, 95, 5, 18, 0.880952380952381, 0.672727272727273, 1
