"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 22, 0, 99, 0, 0.181818181818182, 1, 0.1
"2", 22, 0, 99, 0, 0.181818181818182, 1, 0.2
"3", 22, 0, 99, 0, 0.181818181818182, 1, 0.3
"4", 21, 91, 8, 1, 0.724137931034483, 0.954545454545455, 0.4
"5", 20, 80, 19, 2, 0.512820512820513, 0.909090909090909, 0.5
"6", 19, 96, 3, 3, 0.863636363636364, 0.863636363636364, 0.6
"7", 19, 96, 3, 3, 0.863636363636364, 0.863636363636364, 0.7
"8", 18, 97, 2, 4, 0.9, 0.818181818181818, 0.8
"9", 18, 97, 2, 4, 0.9, 0.818181818181818, 0.9
"10", 18, 96, 3, 4, 0.857142857142857, 0.818181818181818, 1
