"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," ce484b67-ae6a-4816-aabc-fad08910c8de","867354349",2015-07-01 00:00:16,2015-07-01 00:30:16,"-1",96,1800,159,123
0," 03c23c6f-6378-4572-ba8e-c3e1d3fd66d9","867354358",2015-07-01 00:00:28,2015-07-01 00:03:33,"1",66,184.531000137329,159,123
0," fddceca2-ee17-4449-9ed5-72f16e699df0","867354282",2015-07-01 00:00:51,2015-07-01 00:03:12,"1",54,140.511000156403,169,109
0," eb9ed6c8-98dc-4398-b8b6-cba022e4277e","867354323",2015-07-01 00:01:09,2015-07-01 00:05:36,"1",92,266.47200012207,179,90
0," 474575ad-c176-4687-b5ad-c773df0119a6","867354307",2015-07-01 00:01:25,2015-07-01 00:02:59,"1",49,94.0010001659393,179,90
0," 93b85355-7060-48e8-9d46-26ebb33102f4","867354285",2015-07-01 00:01:37,2015-07-01 00:05:04,"1",91,207,229,130
0," 14104626-c127-423a-a17b-0056540c298d","867354278",2015-07-01 00:01:44,2015-07-01 00:04:18,"1",86,153.246999979019,239,129
0," 49af412e-3cd8-4e65-9ccd-fa80f9cf1f49","867354314",2015-07-01 00:01:55,2015-07-01 00:31:55,"-1",97,1800,249,133
0," 1aac689f-9802-41b2-b6e2-1487582b1f8a","867354347",2015-07-01 00:02:20,2015-07-01 00:07:44,"1",95,324.557000160217,299,149
0," 38a4d251-c1be-4214-8197-a387db1d8526","867354295",2015-07-01 00:02:33,2015-07-01 00:32:33,"-1",100,1800,329,166
0," 8057377b-2e24-4219-abaa-5316053c2667","867354293",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",98,1800,399,193
2," a5d7c42b-e27b-41b3-8f2f-4bd03476dbff","867354264",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",74,1800,399,193
0," 0f62199b-eb04-41b8-9218-fd0eb584275c","867354295",2015-07-01 00:32:57,2015-07-01 00:39:59,"1",100,422.154000043869,2209,223
