"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 421fe17d-e197-4bc5-be2b-e02888b02e38","867354542",2015-07-01 00:01:19,2015-07-01 00:31:19,"-1",98,1800,440,220
0," d1a72806-6f73-4193-af52-ec29b45ee2e0","862530894",2015-07-01 00:03:24,2015-07-01 00:33:24,"-1",95,1800,440,220
0," da67edc1-3c7d-43e3-b874-1bd631822081","867354486",2015-07-01 00:03:22,2015-07-01 00:33:22,"-1",92,1800,440,220
0," b6109742-b3f2-4a13-981b-e647d4b600ff","867354493",2015-07-01 00:02:14,2015-07-01 01:09:44,"1",90,4049.86099982262,440,220
0," 51b97d0b-d5e1-4bce-915c-3b36a7cc9b36","867354539",2015-07-01 00:00:14,2015-07-01 00:30:14,"-1",88,1800,440,220
0," b8c02507-c9fc-4b4f-baee-ebe3efbf94a5","867354497",2015-07-01 00:02:32,2015-07-01 00:11:26,"1",87,534.102999925613,440,220
0," b610c2ed-09cd-4eaf-b76d-0a1d3d106875","867354521",2015-07-01 00:03:15,2015-07-01 00:33:15,"-1",100,1800,440,220
0," 82f92d89-f0a2-42cc-8905-c25e7ac828ba","867354477",2015-07-01 00:02:58,2015-07-01 00:32:58,"-1",12,1800,440,220
0," 6a240a35-3f1e-4b8f-b752-0cf08d162048","867354484",2015-07-01 00:04:31,2015-07-01 00:34:31,"-1",93,1800,500,216
0," 30b996b7-8535-4825-8efc-842840e68be7","867354570",2015-07-01 00:05:05,2015-07-01 00:35:05,"-1",94,1800,540,232
1," 7e66d7a3-24ae-4d3b-805e-c2cf35e2a7c5","867354571",2015-07-01 00:06:47,2015-07-01 00:14:37,"-2",89,470.001999855042,660,248
0," a3894d05-6570-453b-9c87-3e096f9b9cb1","867354507",2015-07-01 00:07:01,2015-07-01 00:37:01,"-1",99,1800,670,248
0," ef06e6c2-c700-4c2f-a428-470f8f843fae","867354558",2015-07-01 00:07:19,2015-07-01 00:37:19,"-1",97,1800,760,318
0," 7db1b0ec-45a0-4d2f-ad80-10d1452896d1","867354501",2015-07-01 00:07:16,2015-07-01 00:37:16,"-1",96,1800,760,318
0," 13373133-f8d4-407f-bf38-92f1ce39f342","867354542",2015-07-01 00:31:24,2015-07-01 00:39:14,"1",98,470.130000114441,2200,310
0," 6c72b613-18c1-4e1b-95a7-dcc09069c02e","867354493",2015-07-01 00:33:21,2015-07-01 01:03:21,"-1",90,1800,2320,310
0," 871a29b3-7398-45e9-951a-656924bc3fbd","867354521",2015-07-01 00:34:39,2015-07-01 01:04:39,"-1",100,1800,2430,345
0," 9c879e29-c563-4165-aa51-cab9e5433b4b","867354521",2015-07-01 01:34:44,2015-07-01 02:04:44,"-1",100,1800,7030,1342
