"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 47f9833e-0a87-4a5c-9587-d1d034ed0e70","867200226",2015-07-01 00:05:07,2015-07-01 00:35:07,"-1",97,1800,2057,668
0," ad714071-7db1-4a88-8f38-4be963b4aa82","867200298",2015-07-01 00:05:12,2015-07-01 00:35:12,"-1",94,1800,2057,668
0," e90110c6-2e42-4cfe-86fd-8cab2c78bb9d","867200277",2015-07-01 00:05:17,2015-07-01 00:35:17,"-1",90,1800,2057,668
0," 626c26fa-bb60-4ee0-bee6-3b80274b072d","867200207",2015-07-01 00:05:15,2015-07-01 00:35:15,"-1",87,1800,2057,668
0," 9b121ea8-a9e7-4582-919f-e656c95d4105","867200245",2015-07-01 00:04:28,2015-07-01 00:34:28,"-1",86,1800,2057,668
0," 9b4b5a5d-b737-4970-bacf-745d3e80df31","867200283",2015-07-01 00:04:22,2015-07-01 00:34:22,"-1",85,1800,2057,668
0," d1437fa0-0551-40d5-a4d8-3964f8b7183b","867200265",2015-07-01 00:04:25,2015-07-01 00:34:25,"-1",83,1800,2057,668
0," a13d301b-a86b-44a3-8ab6-41356f8ca1a8","867200268",2015-07-01 00:04:22,2015-07-01 00:34:22,"-1",82,1800,2057,668
0," 0499e5e3-a4ed-43d8-99d4-a19179f180f4","867200204",2015-07-01 00:05:48,2015-07-01 00:35:48,"-1",81,1800,2057,668
0," f81c496e-da20-484c-b131-174cf2da5008","867200230",2015-07-01 00:05:05,2015-07-01 00:35:05,"-1",79,1800,2057,668
0," 403d5ae8-a036-4d38-b9a8-2dee47e1e51e","867200303",2015-07-01 00:04:17,2015-07-01 00:34:17,"-1",77,1800,2057,668
0," b656381c-da76-4a53-9936-a58f34e9eeb9","867200257",2015-07-01 00:04:21,2015-07-01 00:34:21,"-1",76,1800,2057,668
0," 1a41b583-4170-4459-9e01-681b6ff7c1a2","867200282",2015-07-01 00:33:13,2015-07-01 00:49:29,"1",95,976.238999843597,2667,668
0," 4ec21541-65dc-4692-a6ca-06cf914d548b","867200246",2015-07-01 00:33:39,2015-07-01 01:03:39,"-1",98,1800,2697,668
2," 21aa7685-a789-4172-839c-46af221e8df7","867200226",2015-07-01 00:35:20,2015-07-01 01:05:20,"-1",97,1800,2797,668
0," 2d742fe9-ed1a-413d-9769-a3d3d6ddc2e0","867200284",2015-07-01 00:35:57,2015-07-01 01:05:57,"-1",99,1800,2827,668
