"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
2," 4e5fc712-b62e-408e-9a98-2576b77fa5d9","901456981",2015-07-01 00:00:46,2015-07-01 00:30:46,"-1",10,1800,499,451
0," aebde0ac-0b04-4558-9ab5-7a8ee3e88dcf","901456967",2015-07-01 00:02:06,2015-07-01 00:32:06,"-1",90,1800,589,459
0," 37454bb4-d495-4071-a3b4-6a60f3d36f29","901456999",2015-07-01 00:02:18,2015-07-01 00:32:18,"-1",89,1800,599,459
0," 8eff0f2f-6cd7-4fbd-a372-29d71252602f","901456919",2015-07-01 00:02:23,2015-07-01 00:32:23,"-1",92,1800,609,459
0," b9b4f3a7-20b0-4597-b656-fbc26beb4223","901456927",2015-07-01 00:02:39,2015-07-01 00:32:39,"-1",100,1800,619,459
0," fec68942-4006-42fb-b64c-384a0f6d6f53","901456973",2015-07-01 00:03:13,2015-07-01 00:33:13,"-1",93,1800,659,459
0," f14a3bfe-7080-4647-8d4c-7a0cd0bd235a","901456953",2015-07-01 00:03:32,2015-07-01 00:33:32,"-1",99,1800,679,459
0," 2a25a3bb-f117-4db2-8c39-afd2c424a006","901456918",2015-07-01 00:04:24,2015-07-01 00:34:24,"-1",96,1800,729,459
0," d7242852-8fbb-410c-b667-4c828918f733","901456978",2015-07-01 00:05:14,2015-07-01 00:35:14,"-1",97,1800,779,459
0," f74f4b82-46fd-41a6-b533-6a157223a4ae","901456987",2015-07-01 00:05:21,2015-07-01 00:35:21,"-1",91,1800,789,459
0," 5006fc44-8b68-4882-937e-85d6c07c4574","901456985",2015-07-01 00:05:48,2015-07-01 00:35:48,"-1",94,1800,809,459
0," b29ce17d-b9de-41da-b1b8-2a913c5d3e56","901456983",2015-07-01 00:06:06,2015-07-01 00:36:06,"-1",88,1800,829,459
0," bf410318-b206-4dec-9c98-bec2b68917a7","901456979",2015-07-01 00:29:59,2015-07-01 00:58:05,"1",98,1685.48799991608,2259,459
0," a6902696-9f70-4f96-ad41-e64171ca4ecd","901456927",2015-07-01 00:32:47,2015-07-01 01:02:47,"-1",100,1800,2429,459
0," fde69f5b-2e51-4266-9220-9d1cca7c7ca6","901456953",2015-07-01 00:33:39,2015-07-01 01:03:39,"-1",99,1800,2479,459
