"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 3552f4af-aa58-4a8b-aa51-2afd227bfc3d","868282176",2015-07-01 00:00:46,2015-07-01 00:30:46,"-1",97,1800,505,452
0," d4249405-e6cf-4e63-88e0-81cc0f56273f","868282164",2015-07-01 00:00:00,2015-07-01 00:30:00,"-1",96,1800,505,452
0," 89f06c42-d5d4-4f73-860b-1f455839e51b","868282111",2015-07-01 00:02:55,2015-07-01 00:32:55,"-1",99,1800,545,340
0," 5e664800-75c7-4d44-9d87-e42e69695e03","868282210",2015-07-01 00:08:15,2015-07-01 00:15:11,"1",93,415.975000143051,785,282
0," 23ba254d-57f8-422a-ab8c-a84620ac37c6","868282198",2015-07-01 00:08:57,2015-07-01 00:18:47,"1",94,590.003000020981,825,282
0," 8ec32d0c-819a-4fec-80c2-1cb969580c35","868282139",2015-07-01 00:09:39,2015-07-01 00:39:39,"-1",98,1800,865,282
0," dd125887-9b2b-4b42-bf58-336f77aabf47","868282103",2015-07-01 00:10:25,2015-07-01 00:40:25,"-1",100,1800,945,317
0," 8da5dda6-1fe5-4167-ab71-4e9d755c98bd","868282148",2015-07-01 00:10:46,2015-07-01 00:18:54,"1",95,487.660000085831,965,317
