"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 0a13f642-d3f5-45cf-8e15-ed6854122eb2","868283523",2015-07-01 00:00:40,2015-07-01 00:30:40,"-1",100,1800,201,144
0," 8e38566c-1396-41f2-a9a5-c21d90e6c30d","868283673",2015-07-01 00:00:53,2015-07-01 00:30:53,"-1",89,1800,201,144
0," 5fe465c0-7e24-4d86-9e3a-761343d241ee","868283701",2015-07-01 00:00:29,2015-07-01 00:30:29,"-1",90,1800,201,144
0," 25f816af-24a9-4854-93ad-94fdd6c87d93","868283594",2015-07-01 00:00:57,2015-07-01 00:30:57,"-1",99,1800,211,151
0," 999ff764-b26f-4bd3-8894-b6d460a7505d","868283509",2015-07-01 00:01:13,2015-07-01 00:31:13,"-1",91,1800,221,135
0," c0344870-c9c1-4dc0-b410-253d99fd1ed6","868283562",2015-07-01 00:01:49,2015-07-01 00:31:49,"-1",98,1800,241,129
0," fb66c043-527a-42da-8b0d-f65ed12c4db9","868283657",2015-07-01 00:01:55,2015-07-01 00:31:55,"-1",93,1800,251,134
0," 99e69571-6274-4590-8b3d-6dae47c64b78","868283511",2015-07-01 00:01:53,2015-07-01 00:06:19,"1",88,265.34500002861,251,134
0," 68ee1556-0ee1-46bb-92ea-6e68620df2f0","868283546",2015-07-01 00:02:21,2015-07-01 00:32:21,"-1",96,1800,301,151
0," 87ae074e-400a-4611-b84e-68e368b0d9b3","868283592",2015-07-01 00:02:23,2015-07-01 00:32:23,"-1",92,1800,301,151
0," 25f1adc0-8017-4226-aa27-ffd37a3d212e","868283552",2015-07-01 00:02:54,2015-07-01 00:05:45,"1",87,171.493999958038,341,157
0," 84fa14af-5ee8-45a2-b8f4-caa467fcd900","868283504",2015-07-01 00:03:08,2015-07-01 00:33:08,"-1",94,1800,361,172
0," 5faa71b6-b404-4cc9-9d04-31dd2fda904c","868283523",2015-07-01 00:31:47,2015-07-01 01:01:47,"-1",100,1800,2101,184
0," a9d3db4f-1b20-41c8-ad15-5a5c56291e77","868283594",2015-07-01 00:31:59,2015-07-01 01:01:59,"-1",99,1800,2111,184
0," fbc7e994-159d-4953-b824-311734fc9f43","868283562",2015-07-01 00:32:20,2015-07-01 00:38:35,"1",98,375.887000083923,2131,184
