"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 89f06c42-d5d4-4f73-860b-1f455839e51b","868282111",2015-07-01 00:02:55,2015-07-01 00:32:55,"-1",99,1800,1134,709
0," 3552f4af-aa58-4a8b-aa51-2afd227bfc3d","868282176",2015-07-01 00:00:46,2015-07-01 00:30:46,"-1",97,1800,1134,709
0," d4249405-e6cf-4e63-88e0-81cc0f56273f","868282164",2015-07-01 00:00:00,2015-07-01 00:30:00,"-1",96,1800,1134,709
0," 8ec32d0c-819a-4fec-80c2-1cb969580c35","868282139",2015-07-01 00:09:39,2015-07-01 00:39:39,"-1",98,1800,1294,709
0," dd125887-9b2b-4b42-bf58-336f77aabf47","868282103",2015-07-01 00:10:25,2015-07-01 00:40:25,"-1",100,1800,1344,709
