"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 38f6c114-be4b-4192-92cb-3d4c5c42b581","867849363",2015-07-01 00:06:15,2015-07-01 00:36:15,"-1",96,1800,1983,646
0," 92c78c23-3a8c-4b41-9569-87e691cc8737","867849445",2015-07-01 00:03:29,2015-07-01 00:33:29,"-1",94,1800,1983,646
0," b9d9ae54-11d6-43b8-b2e3-080ee472cac0","867849417",2015-07-01 00:03:54,2015-07-01 00:33:54,"-1",90,1800,1983,646
0," 947d0b43-c5fb-480d-bc57-87ba123145ae","867849384",2015-07-01 00:06:22,2015-07-01 00:36:22,"-1",70,1800,1983,646
0," dca06deb-a50f-4447-80cb-efe69786828e","867849425",2015-07-01 00:05:32,2015-07-01 00:35:32,"-1",93,1800,1983,646
0," 8746a102-ad34-4fa7-99f8-bb75a29bbacd","867849424",2015-07-01 00:32:06,2015-07-01 00:44:30,"0",98,744.037000179291,2573,646
0," 8b411476-f71e-4685-8cf7-990068aac1b4","867849383",2015-07-01 00:35:40,2015-07-01 01:05:40,"-1",100,1800,2793,646
0," 9f410ae4-d115-468c-9815-3c95085bc2b6","867849383",2015-07-01 01:05:48,2015-07-01 01:35:48,"-1",100,1800,4603,646
