"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," ce484b67-ae6a-4816-aabc-fad08910c8de","867354349",2015-07-01 00:00:16,2015-07-01 00:30:16,"-1",96,1800,271,248
0," eb9ed6c8-98dc-4398-b8b6-cba022e4277e","867354323",2015-07-01 00:01:09,2015-07-01 00:05:36,"1",92,266.47200012207,311,237
0," 49af412e-3cd8-4e65-9ccd-fa80f9cf1f49","867354314",2015-07-01 00:01:55,2015-07-01 00:31:55,"-1",97,1800,371,255
0," 1aac689f-9802-41b2-b6e2-1487582b1f8a","867354347",2015-07-01 00:02:20,2015-07-01 00:07:44,"1",95,324.557000160217,401,255
0," 38a4d251-c1be-4214-8197-a387db1d8526","867354295",2015-07-01 00:02:33,2015-07-01 00:32:33,"-1",100,1800,411,255
0," 8057377b-2e24-4219-abaa-5316053c2667","867354293",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",98,1800,461,255
2," a5d7c42b-e27b-41b3-8f2f-4bd03476dbff","867354264",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",74,1800,461,255
0," 0f62199b-eb04-41b8-9218-fd0eb584275c","867354295",2015-07-01 00:32:57,2015-07-01 00:39:59,"1",100,422.154000043869,2261,278
