"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 8057377b-2e24-4219-abaa-5316053c2667","867354293",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",98,1800,1978,278
2," a5d7c42b-e27b-41b3-8f2f-4bd03476dbff","867354264",2015-07-01 00:03:20,2015-07-01 00:33:20,"-1",74,1800,1978,278
0," 0f62199b-eb04-41b8-9218-fd0eb584275c","867354295",2015-07-01 00:32:57,2015-07-01 00:39:59,"1",100,422.154000043869,2258,278
