"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," c0344870-c9c1-4dc0-b410-253d99fd1ed6","868283562",2015-07-01 00:01:49,2015-07-01 00:31:49,"-1",98,1800,1871,197
0," 68ee1556-0ee1-46bb-92ea-6e68620df2f0","868283546",2015-07-01 00:02:21,2015-07-01 00:32:21,"-1",96,1800,1871,197
0," 84fa14af-5ee8-45a2-b8f4-caa467fcd900","868283504",2015-07-01 00:03:08,2015-07-01 00:33:08,"-1",94,1800,1871,197
0," fb66c043-527a-42da-8b0d-f65ed12c4db9","868283657",2015-07-01 00:01:55,2015-07-01 00:31:55,"-1",93,1800,1871,197
0," 87ae074e-400a-4611-b84e-68e368b0d9b3","868283592",2015-07-01 00:02:23,2015-07-01 00:32:23,"-1",92,1800,1871,197
0," 999ff764-b26f-4bd3-8894-b6d460a7505d","868283509",2015-07-01 00:01:13,2015-07-01 00:31:13,"-1",91,1800,1871,197
0," 5faa71b6-b404-4cc9-9d04-31dd2fda904c","868283523",2015-07-01 00:31:47,2015-07-01 01:01:47,"-1",100,1800,2101,184
0," a9d3db4f-1b20-41c8-ad15-5a5c56291e77","868283594",2015-07-01 00:31:59,2015-07-01 01:01:59,"-1",99,1800,2111,184
0," fbc7e994-159d-4953-b824-311734fc9f43","868283562",2015-07-01 00:32:20,2015-07-01 00:38:35,"1",98,375.887000083923,2131,184
